color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;genre_1;genre_2;genre_3;genre_4;genre_5
COLOR;Martin Scorsese;2400;1168667270;Biography|Comedy|Crime|Drama;The Wolf of Wall Street;2013;English;USA;1000000000;82;Leonardo DiCaprio,Matthew McConaughey,Jon Favreau;138000;Biography;Comedy;Crime;Drama;None
COLOR;Shane Black;1950;4089922720;Action|Adventure|Sci-Fi;Iron Man 3;2013;English;USA;2000000000;72;Robert Downey Jr.,Jon Favreau,Don Cheadle;95000;Action;Adventure;Sci-Fi;None;None
COLOR ;Quentin Tarantino;1870;541161910;Crime|Drama|Mystery|Thriller|Western;The Hateful Eight;2015;English;USA;440000000;79;Craig Stark,Jennifer Jason Leigh,Zoë Bell;114000;Crime;Drama;Mystery;Thriller;Western
COLOR;Kenneth Lonergan;1860;464950;Drama;Margaret;2011;English;USA;140000000;65;Matt Damon,Kieran Culkin,John Gallagher Jr.;0;Drama;None;None;None;None
COLOR;Peter Jackson;1860;2583553540;Adventure|Fantasy;The Hobbit: The Desolation of Smaug;2013;English;USA;2250000000;79;Aidan Turner,Adam Brown,James Nesbitt;83000;Adventure;Fantasy;None;None;None
COLOR;Unknown;1830;3302490620;Action|Adventure|Sci-Fi;Batman v Superman: Dawn of Justice;202;English;USA;2500000000;69;Henry Cavill,Lauren Cohan,Alan D. Purwin;197000;Action;Adventure;Sci-Fi;None;None
COLOR;Peter Jackson;1440;3030012290;Adventure|Fantasy;The Hobbit: An Unexpected Journey;2012;English;USA;1800000000;79;Aidan Turner,Adam Brown,James Nesbitt;166000;Adventure;Fantasy;None;None;None
COLOR;Joss Whedon;1730;6232795470;Action|Adventure|Sci-Fi;The Avengers;2012;English;USA;2200000000;81;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;123000;Action;Adventure;Sci-Fi;None;None
COLOR;Tom Tykwer;1720;270985800;Drama|Sci-Fi;Cloud Atlas;2012;English;GERMANY;1020000000;75;Tom Hanks,Jim Sturgess,Jim Broadbent;124000;Drama;Sci-Fi;None;None;None
COLOR;Unknown;1580;1025157930;Crime|Drama|Mystery|Thriller;The Girl with the Dragon Tattoo;2011;English;USA;900000000;78;Robin Wright,Goran Visnjic,Joely Richardson;54000;Crime;Drama;Mystery;Thriller;None
COLOR;Christopher Spencer;1700;596961760;None;Son of God;2014;English;USA;220000000;56;Roma Downey,Amber Rose Revah,Darwin Shaw;15000;None;None;None;None;None
COLOR;Christopher Nolan;1690;1879914390;Adventure|Drama|Sci-Fi;Interstellar;2014;English;USA;1650000000;86;Matthew McConaughey,Anne Hathaway,Mackenzie Foy;349000;Adventure;Drama;Sci-Fi;None;None
COLOR;F. Gary Gray;1670;1610292700;Biography|Crime|Drama|History|Music;Straight Outta Compton;2015;English;USA;280000000;79;Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor;76000;Biography;Crime;Drama;History;Music
COLOR;Richard Linklater;1650;253592000;Drama;Boyhood;2014;English;USA;40000000;80;Ellar Coltrane,Lorelei Linklater,Libby Villari;92000;Drama;None;None;None;None
COLOR;Quentin Tarantino;5800;1628046480;Drama|Western;Django Unchained;2012;English;USA;1000000000;85;Leonardo DiCaprio,Christoph Waltz,Ato Essandoh;199000;Drama;Western;None;None;None
COLOR;Michael Bay;1650;2454281370;Action|Adventure|Sci-Fi;Transformers: Age of Extinction;2014;English;USA;2100000000;57;Bingbing Li,Sophia Myles,Kelsey Grammer;56000;Action;Adventure;Sci-Fi;None;None
COLOR;Christopher Nolan;1640;4481306420;Action|Thriller;The Dark Knight Rises;2012;English;USA;2500000000;85;Tom Hardy,Christian Bale,Joseph Gordon-Levitt;164000;Action;Thriller;None;None;None
COLOR;Peter Jackson;1640;2551083700;Adventure|Fantasy;The Hobbit: The Battle of the Five Armies;2014;English;NEW ZEALAND;2500000000;75;Aidan Turner,Adam Brown,James Nesbitt;65000;Adventure;Fantasy;None;None;None
COLOR;Tom Hooper;1580;1487754600;Drama|Musical|Romance;Les Misérables;2012;English;USA;610000000;76;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000;Drama;Musical;Romance;None;None
COLOR;Kathryn Bigelow;1570;957207160;Drama|History|Thriller;Zero Dark Thirty;2012;English;USA;400000000;74;Jennifer Ehle,Harold Perrineau,Parker Sawyers;39000;Drama;History;Thriller;None;None
COLOR;Ridley Scott;1560;1052197350;Action|Adventure|Drama|History;Robin Hood;2010;English;USA;2000000000;67;Mark Addy,William Hurt,Scott Grimes;17000;Action;Adventure;Drama;History;None
COLOR;Unknown;1560;1836359220;Adventure|Drama|Thriller|Western;The Revenant;2015;English;USA;1350000000;81;Leonardo DiCaprio,Tom Hardy,Lukas Haas;190000;Adventure;Drama;Thriller;Western;None
COLOR;Michael Bay;1540;3523587790;Action|Adventure|Sci-Fi;Transformers: Dark of the Moon;2011;English;USA;1950000000;63;Glenn Morshower,Lester Speight,Kevin Dunn;46000;Action;Adventure;Sci-Fi;None;None
COLOR;Denis Villeneuve;1530;609628780;Crime|Drama|Mystery|Thriller;Prisoners;2013;English;USA;460000000;81;Hugh Jackman,Jake Gyllenhaal,Dylan Minnette;86000;Crime;Drama;Mystery;Thriller;None
COLOR;Marc Webb;1530;2620306630;Action|Adventure|Fantasy;The Amazing Spider-Man;2012;English;USA;2300000000;70;Emma Stone,Andrew Garfield,Chris Zylka;56000;Action;Adventure;Fantasy;None;None
COLOR;Unknown;1510;2284309930;Adventure|Drama|Sci-Fi;The Martian;2015;English;USA;1080000000;81;Matt Damon,Donald Glover,Benedict Wong;153000;Adventure;Drama;Sci-Fi;None;None
COLOR;Ridley Scott;1500;650070450;Action|Adventure|Drama;Exodus: Gods and Kings;2014;English;UK;1400000000;61;Christian Bale,María Valverde,Ben Mendelsohn;51000;Action;Adventure;Drama;None;None
COLOR;Unknown;1500;1822044400;Biography|Drama|History|War;Lincoln;2012;English;USA;650000000;74;Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill;71000;Biography;Drama;History;War;None
COLOR;Gore Verbinski;1440;892899100;Action|Adventure|Western;The Lone Ranger;2013;English;USA;2150000000;65;Johnny Depp,Ruth Wilson,Tom Wilkinson;48000;Action;Adventure;Western;None;None
COLOR;David Fincher;1490;1677353960;Crime|Drama|Mystery|Thriller;Gone Girl;2014;English;USA;610000000;81;Patrick Fugit,Sela Ward,Emily Ratajkowski;146000;Crime;Drama;Mystery;Thriller;None
COLOR;Bryan Singer;1490;2339149860;Action|Adventure|Fantasy|Sci-Fi|Thriller;X-Men: Days of Future Past;2014;English;UNITED STATES;2000000000;80;Jennifer Lawrence,Peter Dinklage,Hugh Jackman;82000;Action;Adventure;Fantasy;Sci-Fi;Thriller
COLOR;Christopher Nolan;1480;2925688510;Action|Adventure|Sci-Fi|Thriller;Inception;2010;English;USA;1600000000;88;Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt;175000;Action;Adventure;Sci-Fi;Thriller;None
COLOR;Paul Thomas Anderson;1480;80933180;Comedy|Crime|Drama|Mystery|Romance;Inherent Vice;2014;English;USA;200000000;67;Martin Dew,Katherine Waterston,Serena Scott Thomas;18000;Comedy;Crime;Drama;Mystery;Romance
COLOR;Sam Mendes;1480;2000741750;Action|Adventure|Thriller;Spectre;2015;English;UK;2450000000;68;Christoph Waltz,Rory Kinnear,Stephanie Sigman;85000;Action;Adventure;Thriller;None;None
COLOR;Unknown;1470;4071972820;Action|Adventure|Sci-Fi;Captain America: Civil War;2016;English;USA;2500000000;82;Robert Downey Jr.,Scarlett Johansson,Chris Evans;72000;Action;Adventure;Sci-Fi;None;None
COLOR;Michael Patrick King;1460;953289370;Comedy|Drama|Romance;Sex and the City 2;2010;English;USA;1000000000;43;Chris Noth,Liza Minnelli,Kristin Davis;0;Comedy;Drama;Romance;None;None
COLOR;Tate Taylor;1460;1697055870;Drama;The Help;2011;English;USA;250000000;81;Emma Stone,Bryce Dallas Howard,Mike Vogel;75000;Drama;None;None;None;None
COLOR;Francis Lawrence;1460;4246455770;Adventure|Sci-Fi|Thriller;The Hunger Games: Catching Fire;2013;English;USA;1300000000;76;Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty;82000;Adventure;Sci-Fi;Thriller;None;None
 BLACK AND WHITE;Steven Spielberg;1460;798833590;Drama|War;War Horse;2011;English;USA;660000000;72;Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan;28000;Drama;War;None;None;None
COLOR;Michael Bay;1440;528224180;Action|Drama|Thriller|War;13 Hours;2016;English;USA;500000000;74;Toby Stephens,James Badge Dale,David Costabile;44000;Action;Drama;Thriller;War;None
COLOR;Guillaume Canet;1440;412290;Crime|Drama|Thriller;Blood Ties;2013;English;FRANCE;255000000;65;Mila Kunis,Lili Taylor,Billy Crudup;0;Crime;Drama;Thriller;None;None
COLOR;Paul Thomas Anderson;1440;163772740;Drama;The Master;2012;English;USA;320000000;71;Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild;27000;Drama;None;None;None;None
COLOR;Bryan Singer;1440;1549850870;Action|Adventure|Sci-Fi;X-Men: Apocalypse;2016;English;USA;1780000000;73;Jennifer Lawrence,Michael Fassbender,Tye Sheridan;54000;Action;Adventure;Sci-Fi;None;None
COLOR;Adam McKay;1430;21753120;Comedy;Anchorman 2: The Legend Continues;2013;English;USA;500000000;63;Harrison Ford,Will Ferrell,Steve Carell;41000;Comedy;None;None;None;None
COLOR;Zack Snyder;1430;2910215650;Action|Adventure|Fantasy|Sci-Fi;Man of Steel;2013;English;USA;2250000000;72;Henry Cavill,Christopher Meloni,Harry Lennix;118000;Action;Adventure;Fantasy;Sci-Fi;None
COLOR;Sam Mendes;1430;3043602770;Action|Adventure|Thriller;Skyfall;2012;English;UK;2000000000;78;Albert Finney,Helen McCrory,Rory Kinnear;80000;Action;Adventure;Thriller;None;None
COLOR;Baz Luhrmann;1430;1448127960;Drama|Romance;The Great Gatsby;2013;English;AUSTRALIA;1050000000;73;Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley;115000;Drama;Romance;None;None;None
COLOR;Steven Spielberg;1420;723060650;Drama|History|Thriller;Bridge of Spies;2015;English;USA;400000000;76;Tom Hanks,Mark Rylance,Amy Ryan;55000;Drama;History;Thriller;None;None
COLOR;Marc Webb;1420;2028539330;Action|Adventure|Fantasy|Sci-Fi;The Amazing Spider-Man 2;2014;English;USA;2000000000;67;Emma Stone,Andrew Garfield,B.J. Novak;41000;Action;Adventure;Fantasy;Sci-Fi;None
COLOR;Unknown;1420;4079992550;Adventure|Drama|Sci-Fi|Thriller;The Hunger Games;2012;English;USA;780000000;73;Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds;140000;Adventure;Drama;Sci-Fi;Thriller;None
COLOR;Joss Whedon;1410;4589915990;Action|Adventure|Sci-Fi;Avengers: Age of Ultron;2015;English;USA;2500000000;75;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;118000;Action;Adventure;Sci-Fi;None;None
COLOR;Justin Chadwick;1410;83247480;Biography|Drama|History;Mandela: Long Walk to Freedom;2013;English;UK;350000000;71;Terry Pheto,Fana Mokoena,Tony Kgoroge;13000;Biography;Drama;History;None;None
COLOR;Oliver Stone;1410;473075500;Crime|Drama|Thriller;Savages;2012;English;USA;450000000;65;Demián Bichir,Shea Whigham,Gary Stretch;28000;Crime;Drama;Thriller;None;None
COLOR;David Dobkin;1410;471050850;Crime|Drama;The Judge;2014;English;USA;500000000;74;Robert Downey Jr.,Robert Duvall,Leighton Meester;47000;Crime;Drama;None;None;None
COLOR;Ryan Murphy;1400;805740100;Drama|Romance;Eat Pray Love;2010;English;USA;600000000;57;James Franco,Julia Roberts,Billy Crudup;26000;Drama;Romance;None;None;None
COLOR;James Wan;1400;3500341100;Action|Crime|Thriller;Furious 7;2015;English;USA;1900000000;72;Jason Statham,Paul Walker,Vin Diesel;94000;Action;Crime;Thriller;None;None
COLOR;Derek Cianfrance;1400;213832980;Crime|Drama|Thriller;The Place Beyond the Pines;2012;English;USA;150000000;73;Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza;47000;Crime;Drama;Thriller;None;None
COLOR;Gavin O'Connor;1400;136516620;Drama|Sport;Warrior;2011;English;USA;250000000;82;Tom Hardy,Frank Grillo,Kevin Dunn;77000;Drama;Sport;None;None;None
COLOR;Unknown;1390;1508322030;Adventure|Mystery|Sci-Fi;Divergent;2014;English;USA;850000000;67;Kate Winslet,Theo James,Mekhi Phifer;49000;Adventure;Mystery;Sci-Fi;None;None
COLOR;Gary Ross;1390;203899670;Action|Biography|Drama|History|War;Free State of Jones;2016;English;USA;500000000;67;Matthew McConaughey,Donald Watkins,Jessica Collins;10000;Action;Biography;Drama;History;War
COLOR;Tate Taylor;1390;305139400;Biography|Drama|Music;Get on Up;2014;English;USA;300000000;69;Tika Sumpter,Josh Hopkins,Aunjanue Ellis;11000;Biography;Drama;Music;None;None
COLOR;Terrence Malick;1390;133033190;Drama|Fantasy;The Tree of Life;2011;English;USA;320000000;67;Brad Pitt,Tye Sheridan,Fiona Shaw;39000;Drama;Fantasy;None;None;None
COLOR;Unknown;1380;1501178070;Crime|Drama;American Hustle;2013;English;USA;400000000;73;Jennifer Lawrence,Christian Bale,Bradley Cooper;63000;Crime;Drama;None;None;None
COLOR;Robert Zemeckis;1380;937492030;Drama|Thriller;Flight;2012;English;USA;310000000;73;Denzel Washington,Bruce Greenwood,Nadine Velazquez;64000;Drama;Thriller;None;None;None
COLOR;Darren Aronofsky;1380;1011605290;Action|Adventure|Drama;Noah;2014;English;USA;1250000000;58;Anthony Hopkins,Emma Watson,Logan Lerman;71000;Action;Adventure;Drama;None;None
COLOR;Martin Scorsese;1380;1279684050;Mystery|Thriller;Shutter Island;2010;English;USA;800000000;81;Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto;53000;Mystery;Thriller;None;None;None
COLOR;Ridley Scott;1380;169693900;Crime|Drama|Thriller;The Counselor;2013;English;USA;250000000;53;Michael Fassbender,Brad Pitt,Goran Visnjic;24000;Crime;Drama;Thriller;None;None
COLOR;James Mangold;1380;1325509600;Action|Adventure|Sci-Fi|Thriller;The Wolverine;2013;English;USA;1200000000;67;Hugh Jackman,Tao Okamoto,Rila Fukushima;68000;Action;Adventure;Sci-Fi;Thriller;None
COLOR;Daniel Espinosa;1370;12061350;Crime|Drama|Thriller;Child 44;205;English;CZECH REPUBLIC;500000000;64;Tom Hardy,Fares Fares,Michael Nardone;18000;Crime;Drama;Thriller;None;None
COLOR;Unknown;1370;373049500;Biography|Crime|Drama;J. Edgar;2011;English;USA;350000000;66;Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever;16000;Biography;Crime;Drama;None;None
COLOR;Walter Salles;1370;7177530;Adventure|Drama;On the Road;2012;English;FRANCE;250000000;61;Kristen Stewart,Viggo Mortensen,Kirsten Dunst;27000;Adventure;Drama;None;None;None
COLOR;Unknown;1370;2816660580;Adventure|Sci-Fi;The Hunger Games: Mockingjay - Part 2;2015;English;USA;1600000000;66;Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson;38000;Adventure;Sci-Fi;None;None;None
COLOR;Angelina Jolie Pitt;1370;1156039800;Biography|Drama|Sport|War;Unbroken;2014;English;USA;650000000;12;Finn Wittrock,Jack O'Connell,Alex Russell;35000;Biography;Drama;Sport;War;None
COLOR;Angelina Jolie Pitt;1370;1156039800;Biography|Drama|Sport|War;Unbroken;2014;English;USA;650000000;72;Finn Wittrock,Jack O'Connell,Alex Russell;35000;Biography;Drama;Sport;War;None
COLOR;Seth MacFarlane;1360;426156850;Comedy|Western;A Million Ways to Die in the West;2014;English;USA;400000000;61;Liam Neeson,Charlize Theron,Seth MacFarlane;24000;Comedy;Western;None;None;None
COLOR;Anthony Russo;1360;2597469580;Action|Adventure|Sci-Fi;Captain America: The Winter Soldier;2014;English;USA;1700000000;78;Scarlett Johansson,Chris Evans,Hayley Atwell;55000;Action;Adventure;Sci-Fi;None;None
COLOR;Rob Marshall;1360;2410638750;Action|Adventure|Fantasy;Pirates of the Caribbean: On Stranger Tides;2011;English;USA;2500000000;67;Johnny Depp,Sam Claflin,Stephen Graham;58000;Action;Adventure;Fantasy;None;None
COLOR;Adam Shankman;1360;385093420;Comedy|Drama|Musical|Romance;Rock of Ages;2012;English;USA;750000000;59;James Martin Kelly,Shane Hartline,Celina Beach;33000;Comedy;Drama;Musical;Romance;None
COLOR;Unknown;1360;524746160;Drama;Wall Street: Money Never Sleeps;2010;English;USA;700000000;63;Frank Langella,Austin Pendleton,John Buffalo Mailer;13000;Drama;None;None;None;None
COLOR;Tony Gilroy;1350;1131656350;Action|Adventure|Thriller;The Bourne Legacy;2012;English;USA;1250000000;67;Jeremy Renner,Scott Glenn,Stacy Keach;31000;Action;Adventure;Thriller;None;None
COLOR;Steve McQueen;1340;566678700;Biography|Drama|History;12 Years a Slave;2013;English;USA;200000000;81;Quvenzhané Wallis,Scoot McNairy,Taran Killam;83000;Biography;Drama;History;None;None
COLOR;Paul Greengrass;1340;1071008550;Biography|Drama|Thriller;Captain Phillips;2013;English;USA;550000000;79;Tom Hanks,Chris Mulkey,Michael Chernus;65000;Biography;Drama;Thriller;None;None
COLOR;David Ayer;1340;857071160;Action|Drama|War;Fury;2014;English;USA;680000000;76;Brad Pitt,Logan Lerman,Jim Parrack;82000;Action;Drama;War;None;None
COLOR;Clint Eastwood;1440;470342720;Biography|Drama|Music|Musical;Jersey Boys;2014;English;USA;400000000;69;Johnny Cannizzaro,Steve Schirripa,Scott Vance;16000;Biography;Drama;Music;Musical;None
